Film 	Year 	Awards 	Nominations
7th Heaven 	1927/28 	3 	5
The Circus 	1927/28 	0	0
The Dove 	1927/28 	1 	1
The Jazz Singer 	1927/28 	0	1
The Last Command 	1927/28 	1 	2
Street Angel 	1927/28 	1 	3
Sunrise 	1927/28 	3 	4
Tempest 	1927/28 	1 	1
Two Arabian Knights 	1927/28 	1 	1
Underworld 	1927/28 	1 	1
The Way of All Flesh 	1927/28 	1 	1
Wings 	1927/28 	2 	2
The Bridge of San Luis Rey 	1928/29 	1 	1
The Broadway Melody 	1928/29 	1 	3
Coquette 	1928/29 	1 	1
The Divine Lady 	1928/29 	1 	3
In Old Arizona 	1928/29 	1 	5
The Patriot 	1928/29 	1 	5
White Shadows in the South Seas 	1928/29 	1 	1
All Quiet on the Western Front 	1929/30 	2 	4
The Big House 	1929/30 	2 	4
Disraeli 	1929/30 	1 	3
The Divorcee 	1929/30 	1 	4
King of Jazz 	1929/30 	1 	1
With Byrd at the South Pole 	1929/30 	1 	1
Cimarron 	1930/31 	3 	7
The Dawn Patrol 	1930/31 	1 	1
A Free Soul 	1930/31 	1 	3
Min and Bill 	1930/31 	1 	1
Skippy 	1930/31 	1 	4
Tabu 	1930/31 	1 	1
Bad Girl 	1931/32 	2 	3
The Champ 	1931/32 	2 	4
Dr. Jekyll and Mr. Hyde 	1931/32 	1 	3
Flowers and Trees 	1931/32 	1 	1
Grand Hotel 	1931/32 	1 	1
The Music Box 	1931/32 	1 	1
Shanghai Express 	1931/32 	1 	3
The Sin of Madelon Claudet 	1931/32 	1 	1
Transatlantic 	1931/32 	1 	1
Wrestling Swordfish 	1931/32 	1 	1
Cavalcade 	1932/33 	3 	4
A Farewell to Arms 	1932/33 	2 	4
Krakatoa 	1932/33 	1 	1
Little Women 	1932/33 	1 	3
Morning Glory 	1932/33 	1 	1
One Way Passage 	1932/33 	1 	1
The Private Life of Henry VIII 	1932/33 	1 	2
So This Is Harris! 	1932/33 	1 	1
Three Little Pigs 	1932/33 	1 	1
City of Wax 	1934 	1 	1
Cleopatra 	1934 	1 	5
La Cucaracha 	1934 	1 	1
Eskimo 	1934 	1 	1
The Gay Divorcee 	1934 	1 	5
It Happened One Night 	1934 	5 	5
Manhattan Melodrama 	1934 	1 	1
The Merry Widow 	1934 	1 	1
One Night of Love 	1934 	2 	6
The Tortoise and the Hare 	1934 	1 	1
Viva Villa! 	1934 	1 	4
Broadway Melody of 1936 	1935 	1 	3
Dangerous 	1935 	1 	1
The Dark Angel 	1935 	1 	3
Folies Bergere 	1935 	1 	1
Gold Diggers of 1935 	1935 	1 	2
How to Sleep 	1935 	1 	1
The Informer 	1935 	4 	6
The Lives of a Bengal Lancer 	1935 	1 	7
A Midsummer Night's Dream 	1935 	2 	4
Mutiny on the Bounty 	1935 	1 	8
Naughty Marietta 	1935 	1 	2
The Scoundrel 	1935 	1 	1
